# Device/Package xc7v2000tfhg1761 8/18/2011 15:46:50                                                                                                   

!Pin  Pin_Name                      Memory_Byte_Group  Bank  VCCAUX_Group  Super_Logic_Region  I/O_Type  No-Connect
AB36  IO_L9P_T1_DQS_16              1                  16    1             1                   HP        NA
AB37  IO_L9N_T1_DQS_16              1                  16    1             1                   HP        NA
AA34  IO_L10P_T1_16                 1                  16    1             1                   HP        NA
AA35  IO_L10N_T1_16                 1                  16    1             1                   HP        NA
AB31  IO_L11P_T1_SRCC_16            1                  16    1             1                   HP        NA
AB32  IO_L11N_T1_SRCC_16            1                  16    1             1                   HP        NA
AB33  IO_L12P_T1_MRCC_16            1                  16    1             1                   HP        NA
AC33  IO_L12N_T1_MRCC_16            1                  16    1             1                   HP        NA
AD32  IO_L13P_T2_MRCC_16            2                  16    1             1                   HP        NA
AD33  IO_L13N_T2_MRCC_16            2                  16    1             1                   HP        NA
AC34  IO_L14P_T2_SRCC_16            2                  16    1             1                   HP        NA
AD35  IO_L14N_T2_SRCC_16            2                  16    1             1                   HP        NA
AE32  IO_L15P_T2_DQS_16             2                  16    1             1                   HP        NA
AE33  IO_L15N_T2_DQS_16             2                  16    1             1                   HP        NA
AF31  IO_L16P_T2_16                 2                  16    1             1                   HP        NA
AF32  IO_L16N_T2_16                 2                  16    1             1                   HP        NA
AE34  IO_L17P_T2_16                 2                  16    1             1                   HP        NA
AE35  IO_L17N_T2_16                 2                  16    1             1                   HP        NA
AE29  IO_L18P_T2_16                 2                  16    1             1                   HP        NA
AE30  IO_L18N_T2_16                 2                  16    1             1                   HP        NA
Y32   IO_L19P_T3_16                 3                  16    1             1                   HP        NA
Y33   IO_L19N_T3_VREF_16            3                  16    1             1                   HP        NA
AC31  IO_L20P_T3_16                 3                  16    1             1                   HP        NA
AD31  IO_L20N_T3_16                 3                  16    1             1                   HP        NA
AA31  IO_L21P_T3_DQS_16             3                  16    1             1                   HP        NA
AA32  IO_L21N_T3_DQS_16             3                  16    1             1                   HP        NA
AC30  IO_L22P_T3_16                 3                  16    1             1                   HP        NA
AD30  IO_L22N_T3_16                 3                  16    1             1                   HP        NA
AA29  IO_L23P_T3_16                 3                  16    1             1                   HP        NA
AA30  IO_L23N_T3_16                 3                  16    1             1                   HP        NA
AB29  IO_L24P_T3_16                 3                  16    1             1                   HP        NA
AC29  IO_L24N_T3_16                 3                  16    1             1                   HP        NA
AB34  IO_25_VRP_16                  NA                 16    1             1                   HP        NA
Y38   IO_0_VRN_17                   NA                 17    2             2                   HP        NA
AB41  IO_L1P_T0_17                  0                  17    2             2                   HP        NA
AB42  IO_L1N_T0_17                  0                  17    2             2                   HP        NA
W40   IO_L2P_T0_17                  0                  17    2             2                   HP        NA
Y40   IO_L2N_T0_17                  0                  17    2             2                   HP        NA
Y39   IO_L3P_T0_DQS_17              0                  17    2             2                   HP        NA
AA39  IO_L3N_T0_DQS_17              0                  17    2             2                   HP        NA
Y42   IO_L4P_T0_17                  0                  17    2             2                   HP        NA
AA42  IO_L4N_T0_17                  0                  17    2             2                   HP        NA
AB38  IO_L5P_T0_17                  0                  17    2             2                   HP        NA
AB39  IO_L5N_T0_17                  0                  17    2             2                   HP        NA
AA40  IO_L6P_T0_17                  0                  17    2             2                   HP        NA
AA41  IO_L6N_T0_VREF_17             0                  17    2             2                   HP        NA
AC38  IO_L7P_T1_17                  1                  17    2             2                   HP        NA
AC39  IO_L7N_T1_17                  1                  17    2             2                   HP        NA
AD42  IO_L8P_T1_17                  1                  17    2             2                   HP        NA
AE42  IO_L8N_T1_17                  1                  17    2             2                   HP        NA
AD38  IO_L9P_T1_DQS_17              1                  17    2             2                   HP        NA
AE38  IO_L9N_T1_DQS_17              1                  17    2             2                   HP        NA
AC40  IO_L10P_T1_17                 1                  17    2             2                   HP        NA
AC41  IO_L10N_T1_17                 1                  17    2             2                   HP        NA
AE39  IO_L11P_T1_SRCC_17            1                  17    2             2                   HP        NA
AE40  IO_L11N_T1_SRCC_17            1                  17    2             2                   HP        NA
AD40  IO_L12P_T1_MRCC_17            1                  17    2             2                   HP        NA
AD41  IO_L12N_T1_MRCC_17            1                  17    2             2                   HP        NA
AF39  IO_L13P_T2_MRCC_17            2                  17    2             2                   HP        NA
AF40  IO_L13N_T2_MRCC_17            2                  17    2             2                   HP        NA
AF41  IO_L14P_T2_SRCC_17            2                  17    2             2                   HP        NA
AG41  IO_L14N_T2_SRCC_17            2                  17    2             2                   HP        NA
AG39  IO_L15P_T2_DQS_17             2                  17    2             2                   HP        NA
AH39  IO_L15N_T2_DQS_17             2                  17    2             2                   HP        NA
AF42  IO_L16P_T2_17                 2                  17    2             2                   HP        NA
AG42  IO_L16N_T2_17                 2                  17    2             2                   HP        NA
AG38  IO_L17P_T2_17                 2                  17    2             2                   HP        NA
AH38  IO_L17N_T2_17                 2                  17    2             2                   HP        NA
AJ38  IO_L18P_T2_17                 2                  17    2             2                   HP        NA
AK38  IO_L18N_T2_17                 2                  17    2             2                   HP        NA
AK40  IO_L19P_T3_17                 3                  17    2             2                   HP        NA
AL40  IO_L19N_T3_VREF_17            3                  17    2             2                   HP        NA
AH40  IO_L20P_T3_17                 3                  17    2             2                   HP        NA
AH41  IO_L20N_T3_17                 3                  17    2             2                   HP        NA
AL41  IO_L21P_T3_DQS_17             3                  17    2             2                   HP        NA
AL42  IO_L21N_T3_DQS_17             3                  17    2             2                   HP        NA
AJ40  IO_L22P_T3_17                 3                  17    2             2                   HP        NA
AJ41  IO_L22N_T3_17                 3                  17    2             2                   HP        NA
AK39  IO_L23P_T3_17                 3                  17    2             2                   HP        NA
AL39  IO_L23N_T3_17                 3                  17    2             2                   HP        NA
AJ42  IO_L24P_T3_17                 3                  17    2             2                   HP        NA
AK42  IO_L24N_T3_17                 3                  17    2             2                   HP        NA
AG37  IO_25_VRP_17                  NA                 17    2             2                   HP        NA
N35   IO_0_VRN_18                   NA                 18    2             2                   HP        NA
T34   IO_L1P_T0_18                  0                  18    2             2                   HP        NA
R35   IO_L1N_T0_18                  0                  18    2             2                   HP        NA
N33   IO_L2P_T0_18                  0                  18    2             2                   HP        NA
N34   IO_L2N_T0_18                  0                  18    2             2                   HP        NA
R33   IO_L3P_T0_DQS_18              0                  18    2             2                   HP        NA
R34   IO_L3N_T0_DQS_18              0                  18    2             2                   HP        NA
P35   IO_L4P_T0_18                  0                  18    2             2                   HP        NA
P36   IO_L4N_T0_18                  0                  18    2             2                   HP        NA
T32   IO_L5P_T0_18                  0                  18    2             2                   HP        NA
R32   IO_L5N_T0_18                  0                  18    2             2                   HP        NA
P32   IO_L6P_T0_18                  0                  18    2             2                   HP        NA
P33   IO_L6N_T0_VREF_18             0                  18    2             2                   HP        NA
T36   IO_L7P_T1_18                  1                  18    2             2                   HP        NA
R37   IO_L7N_T1_18                  1                  18    2             2                   HP        NA
P37   IO_L8P_T1_18                  1                  18    2             2                   HP        NA
P38   IO_L8N_T1_18                  1                  18    2             2                   HP        NA
U34   IO_L9P_T1_DQS_18              1                  18    2             2                   HP        NA
T35   IO_L9N_T1_DQS_18              1                  18    2             2                   HP        NA
R38   IO_L10P_T1_18                 1                  18    2             2                   HP        NA
R39   IO_L10N_T1_18                 1                  18    2             2                   HP        NA
U37   IO_L11P_T1_SRCC_18            1                  18    2             2                   HP        NA
U38   IO_L11N_T1_SRCC_18            1                  18    2             2                   HP        NA
U39   IO_L12P_T1_MRCC_18            1                  18    2             2                   HP        NA
T39   IO_L12N_T1_MRCC_18            1                  18    2             2                   HP        NA
U36   IO_L13P_T2_MRCC_18            2                  18    2             2                   HP        NA
T37   IO_L13N_T2_MRCC_18            2                  18    2             2                   HP        NA
V35   IO_L14P_T2_SRCC_18            2                  18    2             2                   HP        NA
V36   IO_L14N_T2_SRCC_18            2                  18    2             2                   HP        NA
V33   IO_L15P_T2_DQS_18             2                  18    2             2                   HP        NA
V34   IO_L15N_T2_DQS_18             2                  18    2             2                   HP        NA
W36   IO_L16P_T2_18                 2                  18    2             2                   HP        NA
W37   IO_L16N_T2_18                 2                  18    2             2                   HP        NA
U32   IO_L17P_T2_18                 2                  18    2             2                   HP        NA
U33   IO_L17N_T2_18                 2                  18    2             2                   HP        NA
W32   IO_L18P_T2_18                 2                  18    2             2                   HP        NA
W33   IO_L18N_T2_18                 2                  18    2             2                   HP        NA
