# Device/Package xc7vx690tffg1761 12/21/2011 15:15:51                                                                                                   

!Pin  Pin_Name                      Memory_Byte_Group  Bank  VCCAUX_Group  Super_Logic_Region  I/O_Type  No-Connect
AD31  IO_L20N_T3_16                 3                  16    1             NA                  HP        NA
AA31  IO_L21P_T3_DQS_16             3                  16    1             NA                  HP        NA
AA32  IO_L21N_T3_DQS_16             3                  16    1             NA                  HP        NA
AC30  IO_L22P_T3_16                 3                  16    1             NA                  HP        NA
AD30  IO_L22N_T3_16                 3                  16    1             NA                  HP        NA
AA29  IO_L23P_T3_16                 3                  16    1             NA                  HP        NA
AA30  IO_L23N_T3_16                 3                  16    1             NA                  HP        NA
AB29  IO_L24P_T3_16                 3                  16    1             NA                  HP        NA
AC29  IO_L24N_T3_16                 3                  16    1             NA                  HP        NA
AB34  IO_25_VRP_16                  NA                 16    1             NA                  HP        NA
Y38   IO_0_VRN_17                   NA                 17    2             NA                  HP        NA
AB41  IO_L1P_T0_17                  0                  17    2             NA                  HP        NA
AB42  IO_L1N_T0_17                  0                  17    2             NA                  HP        NA
W40   IO_L2P_T0_17                  0                  17    2             NA                  HP        NA
Y40   IO_L2N_T0_17                  0                  17    2             NA                  HP        NA
Y39   IO_L3P_T0_DQS_17              0                  17    2             NA                  HP        NA
AA39  IO_L3N_T0_DQS_17              0                  17    2             NA                  HP        NA
Y42   IO_L4P_T0_17                  0                  17    2             NA                  HP        NA
AA42  IO_L4N_T0_17                  0                  17    2             NA                  HP        NA
AB38  IO_L5P_T0_17                  0                  17    2             NA                  HP        NA
AB39  IO_L5N_T0_17                  0                  17    2             NA                  HP        NA
AA40  IO_L6P_T0_17                  0                  17    2             NA                  HP        NA
AA41  IO_L6N_T0_VREF_17             0                  17    2             NA                  HP        NA
AC38  IO_L7P_T1_17                  1                  17    2             NA                  HP        NA
AC39  IO_L7N_T1_17                  1                  17    2             NA                  HP        NA
AD42  IO_L8P_T1_17                  1                  17    2             NA                  HP        NA
AE42  IO_L8N_T1_17                  1                  17    2             NA                  HP        NA
AD38  IO_L9P_T1_DQS_17              1                  17    2             NA                  HP        NA
AE38  IO_L9N_T1_DQS_17              1                  17    2             NA                  HP        NA
AC40  IO_L10P_T1_17                 1                  17    2             NA                  HP        NA
AC41  IO_L10N_T1_17                 1                  17    2             NA                  HP        NA
AE39  IO_L11P_T1_SRCC_17            1                  17    2             NA                  HP        NA
AE40  IO_L11N_T1_SRCC_17            1                  17    2             NA                  HP        NA
AD40  IO_L12P_T1_MRCC_17            1                  17    2             NA                  HP        NA
AD41  IO_L12N_T1_MRCC_17            1                  17    2             NA                  HP        NA
AF39  IO_L13P_T2_MRCC_17            2                  17    2             NA                  HP        NA
AF40  IO_L13N_T2_MRCC_17            2                  17    2             NA                  HP        NA
AF41  IO_L14P_T2_SRCC_17            2                  17    2             NA                  HP        NA
AG41  IO_L14N_T2_SRCC_17            2                  17    2             NA                  HP        NA
AG39  IO_L15P_T2_DQS_17             2                  17    2             NA                  HP        NA
AH39  IO_L15N_T2_DQS_17             2                  17    2             NA                  HP        NA
AF42  IO_L16P_T2_17                 2                  17    2             NA                  HP        NA
AG42  IO_L16N_T2_17                 2                  17    2             NA                  HP        NA
AG38  IO_L17P_T2_17                 2                  17    2             NA                  HP        NA
AH38  IO_L17N_T2_17                 2                  17    2             NA                  HP        NA
AJ38  IO_L18P_T2_17                 2                  17    2             NA                  HP        NA
AK38  IO_L18N_T2_17                 2                  17    2             NA                  HP        NA
AK40  IO_L19P_T3_17                 3                  17    2             NA                  HP        NA
AL40  IO_L19N_T3_VREF_17            3                  17    2             NA                  HP        NA
AH40  IO_L20P_T3_17                 3                  17    2             NA                  HP        NA
AH41  IO_L20N_T3_17                 3                  17    2             NA                  HP        NA
AL41  IO_L21P_T3_DQS_17             3                  17    2             NA                  HP        NA
AL42  IO_L21N_T3_DQS_17             3                  17    2             NA                  HP        NA
AJ40  IO_L22P_T3_17                 3                  17    2             NA                  HP        NA
AJ41  IO_L22N_T3_17                 3                  17    2             NA                  HP        NA
AK39  IO_L23P_T3_17                 3                  17    2             NA                  HP        NA
AL39  IO_L23N_T3_17                 3                  17    2             NA                  HP        NA
AJ42  IO_L24P_T3_17                 3                  17    2             NA                  HP        NA
AK42  IO_L24N_T3_17                 3                  17    2             NA                  HP        NA
AG37  IO_25_VRP_17                  NA                 17    2             NA                  HP        NA
